A happy soul is the best shield for a cruel world. ; Atticus
Tough times never last but tough people do. ; Robert H. Schiuller

Try to be a rainbow in someone’s cloud. ; Maya Angelou

Turn your wounds into wisdom. ; Oprah Winfrey

Wanting to be someone else is a waste of who you are. ; Kurt Cobain

What consumes your mind controls your life; Unknown

What we think, we become. ; Buddha

Whatever you do, do it well. ; Walt Disney

When words fail, music speaks. ; Shakespeare

White is not always light and black is not always dark. ; Habeeb Akande

Yesterday you said tomorrow. Just do it. ; Nike

A happy soul is the best shield for a cruel world. ; Atticus

All limitations are self-imposed. ; Oliver Wendell Holmes

An eye for an eye makes the whole world blind. ; Gandhi

And still, I rise. ; Maya Angelou

Aspire to inspire before we expire. ; Unknown

Be so good they can’t ignore you. ; Steve Martin

Change the game, don’t let the game change you. ; Macklemore

Change the world by being yourself. ; Amy Poehler

Determine your priorities and focus on them. ; Eileen McDargh

Die with memories, not dreams. ; Unknown

Don’t you know your imperfections is a blessing? ; Kendrick Lamar

Dream as if you’ll live forever, live as if you’ll die today. ; James Dean

Embrace the glorious mess that you are. ; Elizabeth Gilbert

Every moment is a fresh beginning. ; T.S Eliot

Everything you can imagine is real. ; Pablo Picasso

Happiness depends upon ourselves. ; Aristotle

Hate comes from intimidation, love comes from appreciation. ; Tyga

Have enough courage to start and enough heart to finish. ; Jessica N. S. Yourko

I could agree with you but then we’d both be wrong. ; Harvey Specter

I don’t need it to be easy, I need it to be worth it. ; Lil Wayne

I have nothing to lose but something to gain. ; Eminem
I will remember and recover, not forgive and forget. ; Unknown

If I’m gonna tell a real story, I’m gonna start with my name. ; Kendrick Lamar

If the world was blind how many people would you impress? ; Boonaa Mohammed

If you tell the truth you don’t have to remember anything. ; Mark Twain

It hurt because it mattered. ; John Green

Let the beauty of what you love be what you do. ; Rumi

Life becomes easier when you learn to accept the apology you never got. ; R. Brault

Love For All, Hatred For None. ; Khalifatul Masih III

May your choices reflect your hopes, not your fears. ; Nelson Mandela

Never let your emotions overpower your intelligence. ; Drake

Never regret anything that made you smile. ; Mark Twain

Normality is a paved road: it’s comfortable to walk but no flowers grow. ; Vincent van Gogh

Nothing lasts forever but at least we got these memories. ; J. Cole

Oh, the things you can find, if you don’t stay behind. ; Dr. Seuss

One day the people that don’t even believe in you will tell everyone how they met you. ; Johnny Depp

Problems are not stop signs, they are guidelines. ; Robert H. Schiuller

Reality is wrong, dreams are for real. ; Tupac

Simplicity is the ultimate sophistication. ; Leonardo da Vinci

Strive for greatness. ; Lebron James

The meaning of life is to give life meaning. ; Ken Hudgins

The time is always right to do what is right. ; Martin Luther King Jr.

The true meaning of life is to plant trees, under whose shade you do not expect to sit. ; Nelson Henderson

There is no substitute for hard work. ; Thomas Edison

To live will be an awfully big adventure. ; Peter Pan

Tough times never last but tough people do. ; Robert H. Schiuller

Try to be a rainbow in someone’s cloud. ; Maya Angelou

Turn your wounds into wisdom. ; Oprah Winfrey

Wanting to be someone else is a waste of who you are. ; Kurt Cobain

What consumes your mind controls your life; Unknown

What we think, we become. ; Buddha

Whatever you do, do it well. ; Walt Disney

When words fail, music speaks. ; Shakespeare

White is not always light and black is not always dark. ; Habeeb Akande

Yesterday you said tomorrow. Just do it. ; Nike

A happy soul is the best shield for a cruel world. ; Atticus

All limitations are self-imposed. ; Oliver Wendell Holmes

An eye for an eye makes the whole world blind. ; Gandhi

And still, I rise. ; Maya Angelou

Aspire to inspire before we expire. ; Unknown

Be so good they can’t ignore you. ; Steve Martin

Change the game, don’t let the game change you. ; Macklemore

Change the world by being yourself. ; Amy Poehler

Determine your priorities and focus on them. ; Eileen McDargh

Die with memories, not dreams. ; Unknown

Don’t you know your imperfections is a blessing? ; Kendrick Lamar

Dream as if you’ll live forever, live as if you’ll die today. ; James Dean

Embrace the glorious mess that you are. ; Elizabeth Gilbert

Every moment is a fresh beginning. ; T.S Eliot

Everything you can imagine is real. ; Pablo Picasso

Happiness depends upon ourselves. ; Aristotle

Hate comes from intimidation, love comes from appreciation. ; Tyga

Have enough courage to start and enough heart to finish. ; Jessica N. S. Yourko

I could agree with you but then we’d both be wrong. ; Harvey Specter

I don’t need it to be easy, I need it to be worth it. ; Lil Wayne

I have nothing to lose but something to gain. ; Eminem
I will remember and recover, not forgive and forget. ; Unknown

If I’m gonna tell a real story, I’m gonna start with my name. ; Kendrick Lamar

If the world was blind how many people would you impress? ; Boonaa Mohammed

If you tell the truth you don’t have to remember anything. ; Mark Twain

It hurt because it mattered. ; John Green

Let the beauty of what you love be what you do. ; Rumi

Life becomes easier when you learn to accept the apology you never got. ; R. Brault

Love For All, Hatred For None. ; Khalifatul Masih III

May your choices reflect your hopes, not your fears. ; Nelson Mandela

Never let your emotions overpower your intelligence. ; Drake

Never regret anything that made you smile. ; Mark Twain

Normality is a paved road: it’s comfortable to walk but no flowers grow. ; Vincent van Gogh

Nothing lasts forever but at least we got these memories. ; J. Cole

Oh, the things you can find, if you don’t stay behind. ; Dr. Seuss

One day the people that don’t even believe in you will tell everyone how they met you. ; Johnny Depp

Problems are not stop signs, they are guidelines. ; Robert H. Schiuller

Reality is wrong, dreams are for real. ; Tupac

Simplicity is the ultimate sophistication. ; Leonardo da Vinci

Strive for greatness. ; Lebron James

The meaning of life is to give life meaning. ; Ken Hudgins

The time is always right to do what is right. ; Martin Luther King Jr.

The true meaning of life is to plant trees, under whose shade you do not expect to sit. ; Nelson Henderson

There is no substitute for hard work. ; Thomas Edison

To live will be an awfully big adventure. ; Peter Pan

Tough times never last but tough people do. ; Robert H. Schiuller

Try to be a rainbow in someone’s cloud. ; Maya Angelou

Turn your wounds into wisdom. ; Oprah Winfrey

Wanting to be someone else is a waste of who you are. ; Kurt Cobain

What consumes your mind controls your life; Unknown

What we think, we become. ; Buddha

Whatever you do, do it well. ; Walt Disney

When words fail, music speaks. ; Shakespeare

White is not always light and black is not always dark. ; Habeeb Akande

Yesterday you said tomorrow. Just do it. ; Nike

A happy soul is the best shield for a cruel world. ; Atticus

All limitations are self-imposed. ; Oliver Wendell Holmes

An eye for an eye makes the whole world blind. ; Gandhi

And still, I rise. ; Maya Angelou

Aspire to inspire before we expire. ; Unknown

Be so good they can’t ignore you. ; Steve Martin

Change the game, don’t let the game change you. ; Macklemore

Change the world by being yourself. ; Amy Poehler

Determine your priorities and focus on them. ; Eileen McDargh

Die with memories, not dreams. ; Unknown

Don’t you know your imperfections is a blessing? ; Kendrick Lamar

Dream as if you’ll live forever, live as if you’ll die today. ; James Dean

Embrace the glorious mess that you are. ; Elizabeth Gilbert

Every moment is a fresh beginning. ; T.S Eliot

Everything you can imagine is real. ; Pablo Picasso

Happiness depends upon ourselves. ; Aristotle

Hate comes from intimidation, love comes from appreciation. ; Tyga

Have enough courage to start and enough heart to finish. ; Jessica N. S. Yourko

I could agree with you but then we’d both be wrong. ; Harvey Specter

I don’t need it to be easy, I need it to be worth it. ; Lil Wayne

I have nothing to lose but something to gain. ; Eminem
I will remember and recover, not forgive and forget. ; Unknown

If I’m gonna tell a real story, I’m gonna start with my name. ; Kendrick Lamar

If the world was blind how many people would you impress? ; Boonaa Mohammed

If you tell the truth you don’t have to remember anything. ; Mark Twain

It hurt because it mattered. ; John Green

Let the beauty of what you love be what you do. ; Rumi

Life becomes easier when you learn to accept the apology you never got. ; R. Brault

Love For All, Hatred For None. ; Khalifatul Masih III

May your choices reflect your hopes, not your fears. ; Nelson Mandela

Never let your emotions overpower your intelligence. ; Drake

Never regret anything that made you smile. ; Mark Twain

Normality is a paved road: it’s comfortable to walk but no flowers grow. ; Vincent van Gogh

Nothing lasts forever but at least we got these memories. ; J. Cole

Oh, the things you can find, if you don’t stay behind. ; Dr. Seuss

One day the people that don’t even believe in you will tell everyone how they met you. ; Johnny Depp

Problems are not stop signs, they are guidelines. ; Robert H. Schiuller

Reality is wrong, dreams are for real. ; Tupac

Simplicity is the ultimate sophistication. ; Leonardo da Vinci

Strive for greatness. ; Lebron James

The meaning of life is to give life meaning. ; Ken Hudgins

The time is always right to do what is right. ; Martin Luther King Jr.

The true meaning of life is to plant trees, under whose shade you do not expect to sit. ; Nelson Henderson

There is no substitute for hard work. ; Thomas Edison

To live will be an awfully big adventure. ; Peter Pan

Tough times never last but tough people do. ; Robert H. Schiuller

Try to be a rainbow in someone’s cloud. ; Maya Angelou

Turn your wounds into wisdom. ; Oprah Winfrey

Wanting to be someone else is a waste of who you are. ; Kurt Cobain

What consumes your mind controls your life; Unknown

What we think, we become. ; Buddha

Whatever you do, do it well. ; Walt Disney

When words fail, music speaks. ; Shakespeare

White is not always light and black is not always dark. ; Habeeb Akande

Yesterday you said tomorrow. Just do it. ; Nike

